;AAA;AA+;AA;AA-;A+;A;A-;BBB+;BBB;BBB-;BB+;BB;BB-;B+;B;B-;Cs;D
AAA;96.79;2.71;0.42;0;0;0;0.01;0;0;0;0;0.07;0;0;0;0;0;0
AA+;6.45;85.16;6.61;1.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AA;0;6.22;85.17;6.74;0.52;0.42;0.1;0.52;0;0;0;0.31;0;0;0;0;0;0
AA-;0;0;7.82;83.45;7.16;0.17;0.5;0.17;0;0.17;0.44;0;0;0.11;0;0;0;0
A+;0;0;0.07;13.35;73.28;9.3;2.03;1.12;0.14;0.63;0.07;0;0;0;0;0;0;0
A;0;0;0;1.15;12.33;77.3;5.71;1.68;0.77;0.96;0.1;0;0;0;0;0;0;0
A-;0;0;0;0;0.94;11.47;77.83;6.94;0.41;1.57;0.67;0.16;0;0;0;0;0;0.01
BBB+;0;0;0;0;0;2.16;12.4;70.87;11.25;2.41;0.6;0.24;0.06;0;0;0;0;0.01
BBB;0;0;0;0;0;0;1.87;16.61;68.08;11.17;0.99;0.11;0;0.5;0.22;0.11;0.33;0.02
BBB-;0;0;0;0;0;0;0;0.93;14.95;74.75;6.51;2.13;0.27;0.08;0.15;0.12;0.08;0.03
BB+;0;0;0;0;0;0;0;0;0.54;20.59;66.47;9.94;1.14;0.18;0.06;0;1.02;0.05
BB;0;0;0;0;0;0;0;0;0;0.78;14.24;71.01;11.18;1.8;0.68;0.15;0.05;0.12
BB-;0;0;0;0;0;0;0;0;0;0;1.04;10.62;74.27;11.54;1.2;0.46;0.61;0.26
B+;0;0;0;0;0;0;0;0;0;0.03;0.03;0.93;10.31;69.43;15.46;2.52;0.86;0.42
B;0;0;0;0;0;0;0;0;0;0;0;0;0.62;13.73;72;10.01;2.96;0.68
B-;0;0;0;0;0;0;0;0;0;0;0;0;0;2.58;15.96;70.78;8.52;2.17
Cs;0;0;0;0;0;0;0;0;0;0;0;0;0;1.31;3.19;24.42;56.38;14.7
D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100
